noise number; onset time ms; duration ms
447; 20457.000000; 2.000000
448; 20469.000000; 4.000000
449; 20482.000000; 1.000000
450; 20493.000000; 5.000000
451; 20505.000000; 2.000000
452; 20508.000000; 2.000000
453; 20529.000000; 1.000000
454; 20542.000000; 1.000000
455; 20564.000000; 1.000000
456; 20576.000000; 1.000000
457; 20587.000000; 2.000000
458; 20590.000000; 2.000000
459; 20600.000000; 2.000000
460; 20603.000000; 2.000000
461; 20622.000000; 2.000000
462; 20638.000000; 1.000000
463; 20646.000000; 5.000000
464; 20658.000000; 6.000000
465; 20681.000000; 7.000000
466; 20694.000000; 1.000000
467; 20706.000000; 1.000000
468; 20708.000000; 2.000000
469; 20716.000000; 2.000000
470; 20729.000000; 1.000000
471; 20740.000000; 1.000000
472; 20752.000000; 1.000000
473; 20776.000000; 1.000000
474; 20788.000000; 1.000000
475; 20790.000000; 2.000000
476; 20800.000000; 1.000000
477; 20810.000000; 3.000000
478; 20828.000000; 2.000000
479; 20835.000000; 1.000000
480; 20846.000000; 1.000000
481; 20852.000000; 1.000000
482; 20869.000000; 3.000000
483; 20883.000000; 5.000000
484; 20892.000000; 3.000000
485; 20905.000000; 2.000000
486; 20908.000000; 2.000000
487; 20917.000000; 2.000000
488; 20928.000000; 2.000000
489; 20940.000000; 2.000000
490; 20952.000000; 2.000000
491; 21028.000000; 1.000000
492; 21282.000000; 3.000000
493; 21288.000000; 3.000000
494; 21436.000000; 1.000000
495; 21530.000000; 4.000000
496; 21541.000000; 3.000000
497; 21545.000000; 2.000000
498; 21659.000000; 1.000000
499; 21765.000000; 2.000000
500; 22023.000000; 3.000000
501; 22070.000000; 3.000000
502; 22074.000000; 3.000000
503; 22083.000000; 1.000000
504; 22087.000000; 3.000000
505; 22094.000000; 2.000000
506; 22099.000000; 3.000000
507; 22106.000000; 2.000000
508; 22145.000000; 3.000000
509; 22152.000000; 7.000000
510; 22176.000000; 1.000000
511; 22187.000000; 2.000000
512; 22199.000000; 2.000000
513; 22202.000000; 2.000000
514; 22207.000000; 1.000000
515; 22209.000000; 3.000000
516; 22222.000000; 2.000000
517; 22225.000000; 2.000000
518; 22231.000000; 1.000000
519; 22233.000000; 6.000000
520; 22246.000000; 2.000000
521; 22257.000000; 3.000000
522; 22261.000000; 2.000000
523; 22269.000000; 3.000000
524; 22273.000000; 2.000000
525; 22281.000000; 6.000000
526; 22292.000000; 3.000000
527; 22296.000000; 2.000000
528; 22305.000000; 2.000000
529; 22308.000000; 3.000000
530; 22316.000000; 2.000000
531; 22328.000000; 5.000000
532; 22339.000000; 6.000000
533; 22348.000000; 6.000000
534; 22355.000000; 2.000000
535; 22364.000000; 1.000000
536; 22375.000000; 5.000000
537; 22383.000000; 2.000000
538; 22386.000000; 3.000000
539; 22398.000000; 3.000000
540; 22409.000000; 3.000000
541; 22415.000000; 2.000000
542; 22422.000000; 3.000000
543; 22433.000000; 3.000000
544; 22437.000000; 2.000000
545; 22445.000000; 5.000000
546; 22458.000000; 2.000000
547; 22469.000000; 1.000000
548; 22481.000000; 2.000000
549; 22493.000000; 2.000000
550; 22505.000000; 2.000000
